index,num_reticulations,network_rank,log_pseudo_likelihood,starting_network,newick
1,1,1,-52886914.47001358,,"(((((((((Podarcis_bocagei:1.7256465936920011,Podarcis_vaucheri:1.003291407434462):0.20033409753626114,Podarcis_liolepis:4.461000377782122):2.0705226849044713)#H1:2.955430986989045::0.17925149123415074,Podarcis_pityusensis:5.301227642863226):4.353653864353786,Podarcis_tiliguerta:2.6995033409334956):0.440148718874403,(((Podarcis_erhardii:2.690570327200308,Podarcis_cretensis:3.497947276305192):1.727377349669632,(Podarcis_gaigeae:0.19445310279401418,Podarcis_melisellensis:2.7216082940168933):1.6939118130577284):0.6630812650897308,(Podarcis_raffonei:3.294468513613648,Podarcis_filfolensis:6.568630749285411):0.651898014080528):0.22716803697458662):0.24284782882929623,Podarcis_siculus:3.039075682858212):0.005862491397544384,(#H1:0.4302716583894525::0.8207485087658493,Podarcis_muralis:1.2229803538873427):1.3032954691684542):3.7308869790051213,(Lacerta_agilis:2.098490403491657,Zootoca_vivipara:0.2539218045561691):2.5861715012671267);"
2,1,2,-52903269.568382524,,"((((((((Podarcis_vaucheri:0.6929290596816409,(Podarcis_bocagei:5.2242142125657445,Podarcis_liolepis:1.998496399489881):0.08060960582993784):1.8035444411374166)#H1:0.12230383371353018::0.16104093001410558,Podarcis_tiliguerta:6.751319641476927):0.20455094950826191,Podarcis_pityusensis:2.196658049035794):0.5465113063463692,(((Podarcis_erhardii:4.063915311751341,Podarcis_cretensis:1.2033430992805108):1.5391388551267222,(Podarcis_melisellensis:0.618407701493213,Podarcis_gaigeae:4.4544345648007315):1.2395747829617834):0.6622157917532498,(Podarcis_filfolensis:5.833963519031634,Podarcis_raffonei:0.19243667942553322):0.801482492067918):0.2904112684541664):0.19732852444359308,Podarcis_siculus:2.9198520604057805):0.021797612282968875,(#H1:0.36058981123095074::0.8389590699858944,Podarcis_muralis:3.098193420780868):1.4947201881556624):3.4405649611661193,(Lacerta_agilis:1.8926981960504938,Zootoca_vivipara:3.8917869798554765):2.695757315957198);"
3,1,3,-52906546.116409376,,"(((((((((Podarcis_vaucheri:0.45418963980739785,Podarcis_liolepis:1.998496399489881):0.3391000917297238,Podarcis_bocagei:5.972438519970266):1.7118318447622418)#H1:0.13169722085158844::0.21875216272894316,Podarcis_pityusensis:2.196658049035794):0.26931532649132206,Podarcis_tiliguerta:6.751319641476927):0.5067680606093392,((Podarcis_filfolensis:5.833963519031634,Podarcis_raffonei:0.19243667942553322):0.741682359096347,((Podarcis_gaigeae:4.4544345648007315,Podarcis_melisellensis:0.618407701493213):1.1219739820363481,(Podarcis_erhardii:4.063915311751341,Podarcis_cretensis:1.2033430992805108):1.8196461360408103):0.7392255419482389):0.17647748252356746):0.23543851524202952,Podarcis_siculus:2.9198520604057805):0.028660063547876063,(#H1:0.6146333505003978::0.7812478372710568,Podarcis_muralis:3.098193420780868):1.3889792843529727):3.6875977691592525,(Zootoca_vivipara:3.8917869798554765,Lacerta_agilis:1.8926981960504938):3.198208640343103);"
4,1,4,-52930661.999373324,,"(((Podarcis_muralis:3.098193420780868,((Podarcis_vaucheri:0.6929290596816409,(Podarcis_liolepis:1.998496399489881,Podarcis_bocagei:5.2242142125657445):0.398092480773418):1.7342890277382226)#H1:0.8695104969047716::0.7371975103244821):1.5815355957437824,((((#H1:0.25899853460181327::0.2628024896755179,Podarcis_pityusensis:2.196658049035794):0.2968695396590659,Podarcis_tiliguerta:6.751319641476927):0.7111272144482269,((Podarcis_raffonei:0.19243667942553322,Podarcis_filfolensis:5.833963519031634):0.5930794757996058,((Podarcis_cretensis:1.2033430992805108,Podarcis_erhardii:4.063915311751341):1.3063010367173822,(Podarcis_melisellensis:0.618407701493213,Podarcis_gaigeae:4.4544345648007315):1.1577221330363354):0.7129427578994222):0.1885137532391507):0.23529794126047793,Podarcis_siculus:2.9198520604057805):0.03869606239415728):3.7265790934604364,(Lacerta_agilis:1.8926981960504938,Zootoca_vivipara:3.8917869798554765):2.624412460846418);"
5,1,5,-52947501.47334856,,"((((((Podarcis_pityusensis:1.011385901933308,(((Podarcis_filfolensis:2.5853783305873215,Podarcis_raffonei:1.1285870634598503):0.8223280556800937,((Podarcis_gaigeae:0.4489900670346807,Podarcis_melisellensis:5.587434624524299):1.1668750228883709,(Podarcis_cretensis:1.622174538048379,Podarcis_erhardii:0.19660545282502184):1.2563456207291501):0.716666886758572):0.13780638396181044)#H1:0.24571723027420067::0.4016613341173755):0.04085749202205357,Podarcis_tiliguerta:1.7124364451701597):0.571953444117862,(((Podarcis_vaucheri:1.7157020611888263,Podarcis_liolepis:0.008318472111577586):0.06550624701199782,Podarcis_bocagei:6.137407143794642):1.6151359948335502,Podarcis_muralis:5.7705731845023305):0.8660280587046235):0.14087886625221369,Podarcis_siculus:6.320496643973957):0.06433225400506237,#H1:0.7463497177533243::0.5983386658826245):3.699243255059781,(Lacerta_agilis:1.033341475996302,Zootoca_vivipara:1.5408383779324808):3.0827102052591133);"
6,1,6,-52949011.08825944,,"((((((Podarcis_bocagei:1.7256465936920011,Podarcis_vaucheri:1.003291407434462):0.29220935044481355,Podarcis_liolepis:4.461000377782122):2.2858373908906473)#H1:0.4320765110384999::0.8207485087658493,Podarcis_muralis:1.2229803538873427):1.4030224474851722,((((#H1:2.9734494882851745::0.17925149123415074,Podarcis_pityusensis:5.301227642863226):4.182289776654333,Podarcis_tiliguerta:2.6995033409334956):0.6721417516509496,(((((Podarcis_cretensis:0.4099727687918704)#H2:1.0::0.42671764671813794,Podarcis_erhardii:1.3305008865975778):1.3689847970848583,#H2:3.1111128492634563::0.5732823532818621):1.520761827644145,(Podarcis_gaigeae:0.19445310279401418,Podarcis_melisellensis:2.7216082940168933):1.6084124107893567):0.7701029465509819,(Podarcis_raffonei:3.294468513613648,Podarcis_filfolensis:6.568630749285411):0.5964792992941513):0.17571741168119642):0.2489325453939209,Podarcis_siculus:3.039075682858212):0.04314078465617321):3.8297304299702395,(Zootoca_vivipara:0.2539218045561691,Lacerta_agilis:2.098490403491657):2.6977499433452534);"
7,1,7,-52949467.15410204,,"(((((((Podarcis_vaucheri:1.0918253884079996,Podarcis_liolepis:0.5310968369542077):0.08203348098334526,Podarcis_bocagei:4.1541802781565575):1.8875634764471905,Podarcis_muralis:0.811156133151355):0.6088621456859399,((Podarcis_pityusensis:5.517786816828167,Podarcis_tiliguerta:1.6617442916012068):0.3453184133855681)#H1:1.4875585901737283::0.38022051611688035):0.20689945048768496,Podarcis_siculus:1.6147832627366254):0.10717574561653785,((#H1:0.577927771891945::0.6197794838831197,(Podarcis_raffonei:2.337052184025433,Podarcis_filfolensis:0.04656213522449182):0.53280825003725):0.022085944489040277,((Podarcis_cretensis:0.3017824337215388,Podarcis_erhardii:3.564088997313811):1.747754358344206,(Podarcis_gaigeae:1.4434827843078488,Podarcis_melisellensis:1.8719102565205143):1.1597134120889865):0.801731332689488):0.4565313591191588):3.41016197641386,(Zootoca_vivipara:1.3499143286596298,Lacerta_agilis:0.2906371384718024):2.748351017181482);"
8,1,8,-52950995.954525605,,"((((((Podarcis_vaucheri:1.003291407434462,Podarcis_bocagei:1.7256465936920011):0.06604959953242615,Podarcis_liolepis:4.461000377782122):2.135131217843019)#H1:0.023969386852010166::0.7579192904190711,Podarcis_muralis:1.2229803538873427):1.7778093615648014,((((((Podarcis_pityusensis:5.301227642863226,#H1:2.638940915929056::0.24208070958092887):3.9413992440358214)#H2:1.41070718425674::0.5105692295411827,Podarcis_tiliguerta:1.2887961566767556):1.0,#H2:0.44182892255392364::0.48943077045881733):0.19857563805889702,((Podarcis_raffonei:3.294468513613648,Podarcis_filfolensis:6.568630749285411):0.5995607909564132,((Podarcis_cretensis:3.5210856180553263,Podarcis_erhardii:2.699485683682436):1.3705915345231168,(Podarcis_gaigeae:0.19445310279401418,Podarcis_melisellensis:2.7216082940168933):1.1247058184840664):0.5726140075840248):0.27068494232052426):0.12683336945812448,Podarcis_siculus:3.039075682858212):0.09508785311291729):3.643416661842895,(Lacerta_agilis:2.098490403491657,Zootoca_vivipara:0.2539218045561691):2.690830072440244);"
9,1,9,-52951581.52657898,,"((((((((((Podarcis_erhardii:0.19660545282502184,Podarcis_cretensis:1.622174538048379):1.4596593841014425,(Podarcis_gaigeae:0.4489900670346807,Podarcis_melisellensis:5.587434624524299):1.0893605315388737):0.7037373120654833,(Podarcis_raffonei:1.1285870634598503,Podarcis_filfolensis:2.5853783305873215):0.74349551228239):0.016334279000800547)#H1:1.0957324327484546::0.40586279387266755,Podarcis_pityusensis:0.8901599984934695):0.057949736762613384,Podarcis_tiliguerta:1.7124364451701597):0.5339265659276413,(Podarcis_muralis:5.7705731845023305,((Podarcis_liolepis:0.017747440087288707,Podarcis_bocagei:6.137407143794642):0.12618777252283458,Podarcis_vaucheri:1.7157020611888263):1.8198622138632008):0.840892874586766):0.14407168364150502,Podarcis_siculus:6.320496643973957):0.09816361180412889,#H1:1.142599887130502::0.5941372061273325):3.4805052699674515,(Zootoca_vivipara:1.5408383779324808,Lacerta_agilis:1.033341475996302):3.3362895570102293);"
10,1,10,-52952977.18435593,,"((((((((Podarcis_muralis:3.098193420780868,(Podarcis_bocagei:5.972438519970266,(Podarcis_liolepis:1.998496399489881,Podarcis_vaucheri:0.45418963980739785):0.07890391230401189):1.9329023188686372):0.21653481406888372)#H1:0.05862783362889981::0.15987768270198088,Podarcis_pityusensis:2.196658049035794):0.4584028981857684,Podarcis_tiliguerta:6.751319641476927):0.6011406949297624,(((Podarcis_gaigeae:4.4544345648007315,Podarcis_melisellensis:0.618407701493213):0.8405698248266673,(Podarcis_erhardii:4.063915311751341,Podarcis_cretensis:1.2033430992805108):1.4310179698947725):0.7507138536974742,(Podarcis_filfolensis:5.833963519031634,Podarcis_raffonei:0.19243667942553322):0.5350573846512492):0.2013607311219669):0.26534386194617177,Podarcis_siculus:2.9198520604057805):0.03993026450915145,#H1:1.2524711126594548::0.8401223172980191):3.623387765354338,(Lacerta_agilis:1.8926981960504938,Zootoca_vivipara:3.8917869798554765):3.248106875033483);"
