index,species,search_r,network_rank,num_reticulations,log_pseudo_likelihood,starting_network,newick
1,Lacerta,1,1,1,-13981976.845318494,,"((Zootoca_vivipara:2.4120123897913404,Lacerta_agilis:2.331896104681583):4.771871494663851,((Podarcis_siculus:0.6873655761970743,(Podarcis_muralis:3.5122207833867103,(((Podarcis_pityusensis:1.7949136482253767,Podarcis_tiliguerta:1.1137997935915993):0.36635425657672394)#H1:2.384206705169352::0.16666815535229618,(Podarcis_liolepis:6.082934727982435,(Podarcis_bocagei:0.7039533333592374,Podarcis_vaucheri:0.9484258386165001):0.24506366039174435):0.2301507081835102):2.1113208860113377):1.1417015634099337):0.03154840560689065,((((Podarcis_erhardii:4.3074521890899105,Podarcis_cretensis:0.14110456335464683):1.9075762126118914,(Podarcis_melisellensis:0.36807806411196076,Podarcis_gaigeae:3.0128112778383933):1.5110309713412025):0.752153897358877,(Podarcis_raffonei:3.4173800652899162,Podarcis_filfolensis:0.1528131234600581):0.6152611662901403):0.19399871137620558,#H1:0.48077013085050824::0.8333318446477038):0.3694496317098627):4.6304659265181884);"
2,Lacerta,1,2,1,-13992712.422843168,,"((Lacerta_agilis:2.331896104681583,Zootoca_vivipara:2.4120123897913404):4.3006479360389305,(((((Podarcis_cretensis:0.14110456335464683,Podarcis_erhardii:4.3074521890899105):2.003808208602968,(Podarcis_melisellensis:0.36807806411196076,Podarcis_gaigeae:3.0128112778383933):1.6128578127550421):0.8482497966295535,(Podarcis_raffonei:3.4173800652899162,Podarcis_filfolensis:0.1528131234600581):0.549577528983141):0.21314456078878782,((Podarcis_tiliguerta:1.1137997935915993,Podarcis_pityusensis:1.7949136482253767):0.10872999189225753)#H1:0.9734208563375446::0.8379500212320382):0.3119500921045608,(Podarcis_siculus:0.6873655761970743,(Podarcis_muralis:3.5122207833867103,(Podarcis_liolepis:6.541244425688857,(Podarcis_vaucheri:0.9484258386165001,(#H1:1.4171317983408338::0.1620499787679618,Podarcis_bocagei:0.5465883686954143):0.0910393673060316):0.2601294847726354):2.584969997053624):1.115571289614613):0.0842184249971887):4.650716302141361);"
3,Lacerta,1,3,1,-13996581.123597637,,"((Lacerta_agilis:2.331896104681583,Zootoca_vivipara:2.4120123897913404):4.960869004450133,((((Podarcis_filfolensis:0.1528131234600581,Podarcis_raffonei:3.4173800652899162):0.742896306108302,((Podarcis_cretensis:0.14110456335464683,Podarcis_erhardii:4.3074521890899105):2.0738938114836154,(Podarcis_melisellensis:0.36807806411196076,Podarcis_gaigeae:3.0128112778383933):1.6457380722549781):0.7481037125692617):0.22485269829550836,((Podarcis_tiliguerta:1.1137997935915993,Podarcis_pityusensis:1.7949136482253767):0.3602959781801314)#H1:0.5273659432975347::0.8684058078697559):0.2953049881944462,(Podarcis_siculus:0.6873655761970743,(Podarcis_muralis:3.5122207833867103,(Podarcis_liolepis:6.541244425688857,((Podarcis_vaucheri:0.2744486645249121,Podarcis_bocagei:0.8854944845640101):0.06175443351515836,#H1:0.5869075436496483::0.1315941921302441):0.09609687565857114):2.3470847506540125):1.052008722332357):0.09609382229066926):5.014827070975318);"
4,Lacerta,1,4,1,-13997369.97464712,,"((Lacerta_agilis:2.331896104681583,Zootoca_vivipara:2.4120123897913404):4.344737443963803,((Podarcis_siculus:0.6873655761970743,(Podarcis_muralis:3.5122207833867103,((Podarcis_vaucheri:0.9484258386165001,Podarcis_bocagei:0.7039533333592374):0.23177381772959246,(((Podarcis_tiliguerta:1.1137997935915993,Podarcis_pityusensis:1.7949136482253767):0.0714554960770857)#H1:1.4908622653298909::0.11359268705178027,Podarcis_liolepis:6.082934727982435):0.305242222855053):2.5521577491548944):1.1356839520067605):0.10187750673206447,(#H1:0.7475718130067712::0.8864073129482197,(((Podarcis_cretensis:0.14110456335464683,Podarcis_erhardii:4.3074521890899105):1.6034267260900095,(Podarcis_gaigeae:3.0128112778383933,Podarcis_melisellensis:0.36807806411196076):2.0444865743266267):0.73397450671182,(Podarcis_raffonei:3.4173800652899162,Podarcis_filfolensis:0.1528131234600581):0.9038048602979378):0.22951499225717847):0.3263713006993846):4.3092548629935665);"
5,Lacerta,1,5,1,-14001599.654760506,,"((Lacerta_agilis:2.331896104681583,Zootoca_vivipara:2.4120123897913404):5.382271537696311,((Podarcis_siculus:0.6873655761970743,(((Podarcis_filfolensis:0.1528131234600581,Podarcis_raffonei:3.4173800652899162):0.8247884073281364,((Podarcis_cretensis:0.14110456335464683,Podarcis_erhardii:4.3074521890899105):1.658613074937092,(Podarcis_melisellensis:0.36807806411196076,Podarcis_gaigeae:3.0128112778383933):1.9513818648511223):0.7604155960104637):0.23418827058579006,((Podarcis_pityusensis:1.7949136482253767,Podarcis_tiliguerta:1.1137997935915993):0.4871423733089816)#H1:0.1799862297763825::0.8545204667493664):0.30110037436892034):0.014120498104506841,(Podarcis_muralis:3.5122207833867103,(((Podarcis_bocagei:1.1223387873871855,Podarcis_vaucheri:0.8843019326761814):0.13042721584450534,Podarcis_liolepis:4.79026946704445):1.1388355899471256,#H1:1.4941496088332569::0.14547953325063356):1.2185320557032129):1.2691162084388683):4.8671213415974615);"
6,Lacerta,1,6,1,-14004974.822632,,"((Zootoca_vivipara:2.4120123897913404,Lacerta_agilis:2.331896104681583):4.694609885595106,(((((Podarcis_erhardii:4.3074521890899105,Podarcis_cretensis:0.14110456335464683):1.9329702727197733,(Podarcis_melisellensis:0.36807806411196076,Podarcis_gaigeae:3.0128112778383933):1.7831911857190146):0.8858094375344211,(Podarcis_filfolensis:0.1528131234600581,Podarcis_raffonei:3.4173800652899162):0.9020634498715654):0.18586705978754486,((Podarcis_pityusensis:1.7949136482253767,Podarcis_tiliguerta:1.1137997935915993):0.09291433422050926)#H1:1.195603952172556::0.8589325927250746):0.30181234674267854,(Podarcis_siculus:0.6873655761970743,(Podarcis_muralis:3.5122207833867103,(Podarcis_liolepis:6.541244425688857,(Podarcis_bocagei:0.8854944845640103,(Podarcis_vaucheri:0.6731213151873043,#H1:1.3484629038816094::0.14106740727492534):0.18125034845853014):0.19928974528244098):2.6350931167102045):1.258463072132816):0.0949790423240569):4.7105236053859105);"
7,Lacerta,1,7,1,-14007167.26965466,,"((Lacerta_agilis:1.6475719118182677,Zootoca_vivipara:5.396947475800509):6.442311896287798,(((((Podarcis_erhardii:0.1795429558641588,Podarcis_cretensis:2.09745531209719):1.3309592854007153,(Podarcis_melisellensis:0.21819935317096262,Podarcis_gaigeae:1.818681649671027):0.8497974767225686):0.8483469460315043,(Podarcis_filfolensis:0.15557842383985965,Podarcis_raffonei:2.305873543386342):0.6917186537749556):0.19520137757864353,((Podarcis_tiliguerta:2.660507960937946,Podarcis_pityusensis:2.5533441182868346):0.5324125043996788)#H1:0.07897665549727409::0.8654191565164449):0.35798518332250995,(Podarcis_siculus:1.1700932282433834,(Podarcis_muralis:1.9767310462258583,(#H1:0.8669994307042369::0.13458084348355512,((Podarcis_liolepis:0.9268126109407322,Podarcis_bocagei:4.62335771337894):0.07912830336565431,Podarcis_vaucheri:1.1891616414256454):0.5617992503848913):2.0112731222377334):1.1081971035535918):0.07771450751024783):4.405874620600951);"
8,Lacerta,1,8,1,-14008690.89423033,,"((Zootoca_vivipara:2.4120123897913404,Lacerta_agilis:2.331896104681583):4.973309411694999,((Podarcis_muralis:3.5122207833867103,(Podarcis_liolepis:4.79026946704445,(Podarcis_bocagei:1.1223387873871855,(Podarcis_vaucheri:0.1511026369983504,((Podarcis_tiliguerta:1.1137997935915993,Podarcis_pityusensis:1.7949136482253767):0.41452644230368696)#H1:1.5511124204609932::0.15438800511967976):0.09853896294101736):0.3870830860642366):2.1391097635335736):1.1812808140425006,(Podarcis_siculus:0.6873655761970743,(((Podarcis_filfolensis:0.1528131234600581,Podarcis_raffonei:3.4173800652899162):0.8311918674592572,((Podarcis_gaigeae:3.0128112778383933,Podarcis_melisellensis:0.36807806411196076):2.026100183786032,(Podarcis_erhardii:4.3074521890899105,Podarcis_cretensis:0.14110456335464683):1.8094759124907303):0.8022403204779823):0.21525960930984206,#H1:0.3912960060986452::0.8456119948803202):0.31784263520704387):0.0072554644265431945):4.751613692157151);"
9,Lacerta,1,9,1,-14010053.026992457,,"((Zootoca_vivipara:2.4120123897913404,Lacerta_agilis:2.331896104681583):5.180997790706466,((Podarcis_muralis:3.5122207833867103,(((Podarcis_vaucheri:0.6086053340419422,Podarcis_liolepis:4.79026946704445):0.05161500501049267,Podarcis_bocagei:1.1223387873871855):0.4458913497807456,((Podarcis_tiliguerta:1.1137997935915993,Podarcis_pityusensis:1.7949136482253767):0.5239740521491437)#H1:0.5630771133420388::0.1579127832006506):2.83566153504139):1.1943299966428105,(Podarcis_siculus:0.6873655761970743,(((Podarcis_raffonei:3.4173800652899162,Podarcis_filfolensis:0.1528131234600581):0.8138200831692884,((Podarcis_cretensis:0.14110456335464683,Podarcis_erhardii:4.3074521890899105):1.706163894373919,(Podarcis_gaigeae:3.0128112778383933,Podarcis_melisellensis:0.36807806411196076):1.127057011329726):0.8978139280383488):0.20475008946072726,#H1:0.3121009507876805::0.8420872167993494):0.3001866866523096):0.019742833119997426):4.4287722252319845);"
10,Lacerta,1,10,1,-14011038.740580626,,"((Lacerta_agilis:2.331896104681583,Zootoca_vivipara:2.4120123897913404):4.402530052259257,(((((Podarcis_cretensis:0.14110456335464683,Podarcis_erhardii:4.3074521890899105):2.0437215883922306,(Podarcis_melisellensis:0.36807806411196076,Podarcis_gaigeae:3.0128112778383933):1.5797755152244641):0.8527953492575762,(Podarcis_raffonei:3.4173800652899162,Podarcis_filfolensis:0.1528131234600581):0.6011503320277121):0.2178102862180904,((Podarcis_tiliguerta:1.1137997935915993,Podarcis_pityusensis:1.7949136482253767):0.05232374401797463)#H1:1.030884522425709::0.8515849308118634):0.3376860228115414,(Podarcis_siculus:0.6873655761970743,(Podarcis_muralis:3.5122207833867103,(Podarcis_vaucheri:0.9484258386165,(#H1:1.3194949374339926::0.14841506918813666,(Podarcis_liolepis:6.541244425688857,Podarcis_bocagei:0.44731548892410133):0.09927287977131294):0.2135634476516596):2.8716656229102298):0.9352033797696814):0.1244297602530543):4.748124693195413);"
