dataset,reticulations,rank,log_probability,network
lac,1,1,-13987378.310022974,"((Zootoca_vivipara:0.25677354575966416,Lacerta_agilis:1.2026356779081948):3.652813412086989,((Podarcis_siculus:1.7506392426102035,(Podarcis_muralis:1.403553833676002,(((Podarcis_vaucheri:0.502986257623065,Podarcis_bocagei:0.26654263440142406):0.4296356647363511,Podarcis_liolepis:0.4085003329998631):2.078072177417302)#H1:0.48679011719881643::0.7801372331743996):2.3641207761380794):0.13165823774692947,(((Podarcis_raffonei:1.762318387538715,Podarcis_filfolensis:1.72006539802722):0.648313161128423,((Podarcis_cretensis:1.1511979431749633,Podarcis_erhardii:2.112986403832166):2.923160448928138,(Podarcis_gaigeae:0.7886876562751788,Podarcis_melisellensis:4.460034580336851):1.2851840660974008):0.779918179244915):0.28118862288228014,(Podarcis_tiliguerta:4.401142697353949,(Podarcis_pityusensis:0.6382977403331845,#H1:2.052600271490827::0.21986276682560038):1.1287658724958747):0.8889746643000185):0.3065924576297063):4.470041758034534);"
lac,1,2,-14000625.9501828,"((Lacerta_agilis:0.11814559877032318,Zootoca_vivipara:1.3878487361201453):5.106996128878534,((Podarcis_siculus:1.7577857793321932,(Podarcis_muralis:10.750945633167156,((Podarcis_bocagei:4.523152346414866,(Podarcis_liolepis:0.0012971222831552175,Podarcis_vaucheri:0.04102957548119261):0.07032637387805958):2.8231818117868417)#H1:1.0269591942281395::0.7503450551088708):2.828905536720173):0.14888429038557613,(((Podarcis_filfolensis:2.6395573795812197,Podarcis_raffonei:1.1115633403293548):0.905956431498088,((Podarcis_cretensis:3.7208332263097743,Podarcis_erhardii:4.736116765076099):2.1694819218814745,(Podarcis_gaigeae:2.3055120099680826,Podarcis_melisellensis:1.8660008670852521):1.5513255439775266):0.7709848409034095):0.3237798603181835,(Podarcis_pityusensis:5.404439230630197,(#H1:0.8317922715717986::0.24965494489112922,Podarcis_tiliguerta:0.9640643997363789):0.018410672769612613):0.6918809928060785):0.2456012394517566):4.666899994069248);"
lac,1,3,-14001984.227459896,"((Lacerta_agilis:0.5680817482782363,Zootoca_vivipara:4.3060933116644105):4.0866326913405295,((Podarcis_siculus:4.36369482389386,(((Podarcis_raffonei:4.590886077071601,Podarcis_filfolensis:2.191722085392125):0.7431917813700536,((Podarcis_melisellensis:1.0626993564510179,Podarcis_gaigeae:1.7616639139093806):1.4629081031069333,(Podarcis_cretensis:1.723833258084491,Podarcis_erhardii:0.3464737584327171):2.3053240485738646):0.9437192225561994):0.2671498364368966,(Podarcis_tiliguerta:1.210155400786949,(Podarcis_pityusensis:0.24816171722674318,(((Podarcis_bocagei:7.781766315063486,Podarcis_vaucheri:8.758573898640584):0.42059214858677385,Podarcis_liolepis:0.03619047808407945):2.359161564032458)#H1:3.9266802426756833::0.22228365504986225):0.7682105172885774):0.8853336768486461):0.2636859833826671):0.03862594681528343,(#H1:3.467175920482997::0.7777163449501378,Podarcis_muralis:0.817682516979706):2.4080422687320358):3.970385484931985);"
lac,1,4,-14003347.737609563,"((Lacerta_agilis:1.5693444779460006,Zootoca_vivipara:2.771656471877244):4.009278228506683,(Podarcis_siculus:3.5892778969549823,((Podarcis_muralis:1.1975544244943932,((Podarcis_liolepis:3.510516663722851,(Podarcis_bocagei:1.3884219583314872,Podarcis_vaucheri:0.9126988894556061):0.3156105282660918):2.2402968753983115,((Podarcis_pityusensis:6.469092240807662,Podarcis_tiliguerta:0.7287037915940571):0.07101885133164662)#H1:0.8603051730827369::0.1753878920325853):0.4748272205413904):1.2009772393690763,((((Podarcis_cretensis:0.01340941850696363,Podarcis_erhardii:3.396193017603336):1.7563365116205476,(Podarcis_melisellensis:0.02249381430385608,Podarcis_gaigeae:1.3903667609330825):1.038263596888146):0.9006435692475193,(Podarcis_filfolensis:6.043440230378321,Podarcis_raffonei:0.6267711156625291):0.8064666055839381):0.21857842781569345,#H1:1.4374038557382642::0.8246121079674147):0.30338539468353165):0.00694930802991222):4.034873239622548);"
lac,1,5,-14009738.453205448,"((Zootoca_vivipara:0.5485246433604605,Lacerta_agilis:1.0001801716514631):4.858682052071443,((Podarcis_siculus:3.4230854127024433,(((Podarcis_liolepis:2.9554112662006835,(Podarcis_vaucheri:2.5799850823681254,Podarcis_bocagei:4.5386859588577005E-4):0.5592075551493866):2.1743875732733606,Podarcis_muralis:6.740571294930447):0.7077738246669656,((Podarcis_tiliguerta:3.3064260010838336,Podarcis_pityusensis:3.3733529729882585):0.3060428960973081)#H1:0.26106257965582824::0.40790128011918936):0.3117088894503205):0.05500253626921539,(#H1:1.1303428591164395::0.5920987198808106,((Podarcis_raffonei:1.7856342155173528,Podarcis_filfolensis:1.5062985194758016):0.7104225650552625,((Podarcis_melisellensis:10.048575699498361,Podarcis_gaigeae:1.9052473003017356):1.8080589512906635,(Podarcis_erhardii:1.5364121185728998,Podarcis_cretensis:1.584051593468422):1.8294005706300376):0.7061082398099625):0.04913908684255222):0.49306086496734397):4.989773355541486);"
lac,1,6,-14010303.296497134,"((Zootoca_vivipara:0.35066165110480974,Lacerta_agilis:3.902882450699096):3.479901771290682,(((Podarcis_raffonei:0.7922517596156398,Podarcis_filfolensis:2.671772622542239):0.8850531465946335,(((Podarcis_melisellensis:2.259007142082164,Podarcis_gaigeae:0.6125958986963604):1.0438956914290451,(Podarcis_cretensis:1.945017525729873,Podarcis_erhardii:0.9751976807153893):1.6373562664472554):0.9700308608096252,((Podarcis_tiliguerta:10.78382387456912,Podarcis_pityusensis:1.226489001897432):0.5082554292140675)#H1:0.9430843992709574::0.617737523423065):0.007168209102854667):0.4924042466350774,(Podarcis_siculus:2.4219375850986307,(#H1:0.6803622165949552::0.382262476576935,(Podarcis_muralis:1.1008134767244913,((Podarcis_vaucheri:0.011594879598312825,Podarcis_bocagei:0.49070239681536854):0.5673676147587898,Podarcis_liolepis:2.2140988515466815):2.0593898180711006):0.5478221385098824):0.4375108543388743):0.10535494721662614):4.595225506912113);"
lac,1,7,-14010788.403047482,"((Podarcis_siculus:3.5892778969549823,((Podarcis_muralis:1.1975544244943932,((Podarcis_bocagei:0.6288482510668445,(Podarcis_liolepis:3.5621073217134134,Podarcis_vaucheri:1.5318389548482911):0.15339199081238586):1.8131550590057268,((Podarcis_pityusensis:6.469092240807662,Podarcis_tiliguerta:0.7287037915940571):0.1414416283539072)#H1:1.1938761589523754::0.1784398048054734):0.8255972375224546):1.2771456951124398,(((Podarcis_filfolensis:6.043440230378321,Podarcis_raffonei:0.6267711156625291):0.6869545804744001,((Podarcis_erhardii:3.396193017603336,Podarcis_cretensis:0.01340941850696363):1.8198671541585756,(Podarcis_melisellensis:0.02249381430385608,Podarcis_gaigeae:1.3903667609330825):1.043920840652394):0.8318815065371326):0.20234551489991015,#H1:1.981517216639449::0.8215601951945266):0.341828653315548):0.006774681817081324):4.146755308273586,(Zootoca_vivipara:2.771656471877244,Lacerta_agilis:1.5693444779460006):3.727459367738575);"
lac,1,8,-14011000.796183592,"((Lacerta_agilis:1.0001801716514631,Zootoca_vivipara:0.5485246433604605):4.102806161590994,((Podarcis_siculus:3.4230854127024433,(((Podarcis_tiliguerta:3.3064260010838336,Podarcis_pityusensis:3.495513994773493):0.380295222655893)#H1:0.8405404322457144::0.2625817911415427,(Podarcis_muralis:6.740571294930447,(Podarcis_vaucheri:2.5799850823681254,(Podarcis_liolepis:2.887470669803136,Podarcis_bocagei:2.6663493206997865E-5):0.06500335138084465):1.978781239669165):0.43621497311455876):0.9327170000848805):0.008036975569062021,(((Podarcis_raffonei:1.7856342155173528,Podarcis_filfolensis:1.5062985194758016):0.700434974784756,((Podarcis_melisellensis:10.048575699498361,Podarcis_gaigeae:1.9052473003017356):1.2095969047077657,(Podarcis_erhardii:1.5364121185728998,Podarcis_cretensis:1.584051593468422):1.5544603279867037):0.8237408121803041):0.09464569017549047,#H1:0.4474418099984584::0.7374182088584573):0.4355566784546494):4.351390905587399);"
lac,1,9,-14012961.426028222,"((Zootoca_vivipara:1.2215303247283509,Lacerta_agilis:0.01609395028013716):4.5683076964594695,((Podarcis_siculus:9.20219236927661,(Podarcis_muralis:2.090719960428103,((Podarcis_vaucheri:1.8658665039529323,(Podarcis_bocagei:3.974601958412669,Podarcis_liolepis:0.05991027540847427):0.10472462910777):2.2957139672508453)#H1:0.09300363178243555::0.7568992053187589):3.3668351696092618):0.09427575663088547,((((Podarcis_erhardii:5.497325846579118,Podarcis_cretensis:1.1587356806312066):2.338879788200164,(Podarcis_gaigeae:0.9590995927372505,Podarcis_melisellensis:3.3102044402974906):1.3233311734544015):0.9683482199981155,(Podarcis_raffonei:2.2520092863275964,Podarcis_filfolensis:4.754039200187663):0.7392285646973119):0.27674214764867916,(Podarcis_pityusensis:4.481622604909113,(Podarcis_tiliguerta:1.5093573286283855,#H1:1.6088633759548538::0.24310079468124118):1.1000950190786982):0.6283316358316747):0.29856122020500625):4.419705446228691);"
lac,1,10,-14015458.49498837,"((Lacerta_agilis:0.5680817482782363,Zootoca_vivipara:4.3060933116644105):4.198499748001839,(Podarcis_siculus:4.392651795467104,((((Podarcis_raffonei:4.590886077071601,Podarcis_filfolensis:2.191722085392125):1.0681043341515601,((Podarcis_erhardii:0.3464737584327171,Podarcis_cretensis:1.723833258084491):2.3868941034075486,(Podarcis_melisellensis:1.0626993564510179,Podarcis_gaigeae:1.7616639139093806):1.601796780310986):0.9198294364018947):0.21242332327325644,(Podarcis_tiliguerta:1.2101554007869493,(Podarcis_pityusensis:0.24816171722674318,(((Podarcis_vaucheri:8.758573898640584,Podarcis_bocagei:7.781766315063486):0.7494999962473494,Podarcis_liolepis:0.03619047808407945):2.511230269554212)#H1:3.4776479680640056::0.2404560044128259):0.5363006400389834):0.6511009951451708):0.29974962551591855,(Podarcis_muralis:0.817682516979706,#H1:3.5663704801921305::0.7595439955871741):2.3342082696550484):0.004383138319288405):4.061581749385067);"
